,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,2,19,67,168,338,385,283,205,111,121,141,108,79,78,1,"2,106",22.0,,,,
1,2,Colorectum,-,-,-,1,1,4,8,17,54,70,105,94,92,168,220,228,186,174,-,"1,422",14.8,,,,
2,3,Lung,-,-,-,-,-,1,8,8,36,63,67,83,66,156,172,211,188,180,-,"1,239",12.9,,,,
3,4,Cervix,-,-,-,-,-,6,25,30,67,62,45,30,25,38,33,17,17,13,-,408,4.3,,,,
4,5,Ovary and peritoneum,-,-,2,10,9,12,18,30,40,86,56,44,17,16,18,19,10,12,-,399,4.2,,,,
5,6,Liver,1,1,-,-,1,1,3,4,16,18,26,26,30,55,69,51,40,48,-,390,4.1,,,,
6,7,Corpus uteri,-,-,-,1,-,-,6,18,36,73,78,61,37,27,24,7,9,5,1,383,4.0,,,,
7,8,Stomach,-,-,-,-,-,2,2,16,15,24,17,27,26,33,45,53,47,63,-,370,3.9,,,,
8,9,Thyroid gland,-,-,2,7,11,14,31,46,59,43,40,22,12,17,11,6,6,5,-,332,3.5,,,,
9,10,Non-melanoma skin,-,-,-,-,-,-,-,1,9,12,20,7,10,34,42,47,50,67,1,300,3.1,,,,
10,11,Non-Hodgkin lymphoma,-,1,2,2,2,4,8,11,21,21,22,22,20,26,25,26,28,14,-,255,2.7,,,,
11,12,Nasopharynx,-,-,-,-,3,7,17,35,31,41,34,22,11,14,7,8,4,1,-,235,2.4,,,,
12,13,Leukaemia,7,2,7,6,3,3,3,13,7,12,12,10,9,22,15,10,16,14,-,171,1.8,,,,
13,14,Pancreas,-,-,-,-,-,1,1,4,1,11,7,10,17,17,20,31,23,21,-,164,1.7,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,2,-,7,7,8,9,12,12,8,15,18,21,15,12,7,-,153,1.6,,,,
15,16,Bladder,-,-,-,-,-,-,1,1,2,6,5,7,11,7,30,21,28,23,-,142,1.5,,,,
16,17,Kidney and other urinary organs except bladder,1,-,-,-,-,1,1,2,3,14,12,10,10,16,15,22,14,12,-,133,1.4,,,,
17,18,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,2,3,4,7,7,14,11,18,25,21,-,113,1.2,,,,
18,19,Bone and soft tissue,2,3,4,5,2,2,3,6,17,9,15,2,6,2,6,10,2,2,-,98,1.0,,,,
19,20,Oesophagus,-,-,-,-,-,-,-,-,1,2,6,5,6,11,16,15,12,14,-,88,0.9,,,,
20,21,Brain and other central nervous system,3,4,3,-,3,6,5,2,6,5,8,3,4,7,6,7,5,5,-,82,0.9,,,,
21,22,Multiple myeloma,-,-,-,-,-,1,-,-,2,3,4,4,6,5,16,13,8,9,-,71,0.7,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,1,2,5,6,3,1,3,11,5,4,10,-,51,0.5,,,,
23,24,Thymus / other thoracic organs,-,-,-,-,-,-,-,2,4,5,2,3,-,2,-,-,1,2,-,21,0.2,,,,
24,25,Small intestine,-,-,-,-,-,1,-,-,-,-,4,-,-,2,1,5,1,4,-,18,0.2,,,,
25,25,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,1,-,1,4,-,1,1,2,2,3,2,1,-,-,18,0.2,,,,
26,27,Hodgkin lymphoma,-,-,-,1,4,3,1,-,1,1,2,1,1,2,-,-,-,-,-,17,0.2,,,,
27,28,Melanoma of skin,-,-,-,-,-,-,-,-,2,1,1,-,1,3,1,1,-,4,-,14,0.1,,,,
28,29,"Uterus, unspecified",-,-,-,-,-,-,-,1,-,2,2,3,-,-,-,-,1,3,-,12,0.1,,,,
29,30,Larynx,-,-,-,-,-,-,-,-,-,1,2,1,-,-,1,1,-,2,-,8,0.1,,,,
30,31,Other endocrine glands,3,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,7,0.1,,,,
31,32,Eye,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,4,0.0,,,,
32,33,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,0.0,,,,
33,34,Placenta,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,-,-,-,-,-,-,2,9,9,18,18,20,10,35,45,75,57,67,1,366,3.8,,,,
35,-,All sites,18,11,20,35,42,97,218,436,794,"1,008",917,742,564,873,"1,025","1,033",874,882,4,"9,593",100.0,,,,
0,,Breast,-,-,-,-,0.9,7.2,20.5,47.4,93.4,127.4,121.5,136.6,103.4,99.0,126.8,124.3,135.3,156.6,,,,1,4.4,60.7,41.9
1,,Colorectum,-,-,-,0.5,0.4,1.5,2.5,4.8,14.9,23.2,45.1,62.6,85.7,137.5,197.8,262.4,318.5,349.4,,,,2,2.9,41.0,25.2
2,,Lung,-,-,-,-,-,0.4,2.5,2.3,9.9,20.8,28.8,55.3,61.5,127.7,154.7,242.8,321.9,361.4,,,,3,2.3,35.7,21.0
3,,Ovary and peritoneum,-,-,1.0,4.8,3.9,4.6,5.5,8.5,11.1,28.4,24.0,29.3,15.8,13.1,16.2,21.9,17.1,24.1,,,,4,0.8,11.5,8.5
4,,Corpus uteri,-,-,-,0.5,-,-,1.8,5.1,9.9,24.1,33.5,40.6,34.5,22.1,21.6,8.1,15.4,10.0,,,,5,1.0,11.0,8.5
5,,Cervix,-,-,-,-,-,2.3,7.7,8.5,18.5,20.5,19.3,20.0,23.3,31.1,29.7,19.6,29.1,26.1,,,,6,0.9,11.8,8.2
6,,Liver,0.9,0.6,-,-,0.4,0.4,0.9,1.1,4.4,6.0,11.2,17.3,28.0,45.0,62.1,58.7,68.5,96.4,,,,7,0.9,11.2,7.3
7,,Thyroid gland,-,-,1.0,3.3,4.8,5.3,9.5,13.0,16.3,14.2,17.2,14.7,11.2,13.9,9.9,6.9,10.3,10.0,,,,8,0.7,9.6,7.1
8,,Stomach,-,-,-,-,-,0.8,0.6,4.5,4.1,7.9,7.3,18.0,24.2,27.0,40.5,61.0,80.5,126.5,,,,9,0.7,10.7,6.4
9,,Non-Hodgkin lymphoma,-,0.6,1.0,1.0,0.9,1.5,2.5,3.1,5.8,6.9,9.4,14.7,18.6,21.3,22.5,29.9,47.9,28.1,,,,10,0.5,7.3,5.1
10,,Nasopharynx,-,-,-,-,1.3,2.7,5.2,9.9,8.6,13.6,14.6,14.7,10.3,11.5,6.3,9.2,6.8,2.0,,,,11,0.5,6.8,4.9
11,,Non-melanoma skin,-,-,-,-,-,-,-,0.3,2.5,4.0,8.6,4.7,9.3,27.8,37.8,54.1,85.6,134.5,,,,12,0.5,8.6,4.6
12,,Leukaemia,6.1,1.1,3.4,2.9,1.3,1.1,0.9,3.7,1.9,4.0,5.2,6.7,8.4,18.0,13.5,11.5,27.4,28.1,,,,13,0.4,4.9,4.3
13,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1.0,-,2.7,2.1,2.3,2.5,4.0,5.2,5.3,14.0,14.7,18.9,17.3,20.5,14.1,,,,14,0.4,4.4,3.1
14,,Pancreas,-,-,-,-,-,0.4,0.3,1.1,0.3,3.6,3.0,6.7,15.8,13.9,18.0,35.7,39.4,42.2,,,,15,0.3,4.7,2.9
15,,Kidney and other urinary organs except bladder,0.9,-,-,-,-,0.4,0.3,0.6,0.8,4.6,5.2,6.7,9.3,13.1,13.5,25.3,24.0,24.1,,,,16,0.3,3.8,2.6
16,,Bone and soft tissue,1.7,1.7,1.9,2.4,0.9,0.8,0.9,1.7,4.7,3.0,6.4,1.3,5.6,1.6,5.4,11.5,3.4,4.0,,,,17,0.2,2.8,2.4
17,,Bladder,-,-,-,-,-,-,0.3,0.3,0.6,2.0,2.1,4.7,10.3,5.7,27.0,24.2,47.9,46.2,,,,18,0.3,4.1,2.3
18,,Brain and other central nervous system,2.6,2.2,1.4,-,1.3,2.3,1.5,0.6,1.7,1.7,3.4,2.0,3.7,5.7,5.4,8.1,8.6,10.0,,,,19,0.2,2.4,2.1
19,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.3,0.6,1.0,1.7,4.7,6.5,11.5,9.9,20.7,42.8,42.2,,,,20,0.2,3.3,1.8
20,,Oesophagus,-,-,-,-,-,-,-,-,0.3,0.7,2.6,3.3,5.6,9.0,14.4,17.3,20.5,28.1,,,,21,0.2,2.5,1.5
