,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,2,7,21,26,88,165,287,299,355,464,530,371,232,-,"2,848",20.8,,,,
1,2,Colorectum,-,-,-,-,2,6,16,25,43,117,193,221,248,307,379,379,282,187,-,"2,405",17.6,,,,
2,3,Prostate,-,-,-,-,-,-,-,-,1,9,32,81,157,228,366,329,185,96,-,"1,484",10.8,,,,
3,4,Liver,1,-,-,1,1,1,8,31,46,101,197,199,198,160,163,142,84,52,-,"1,385",10.1,,,,
4,5,Stomach,-,-,-,1,1,1,3,8,6,17,54,72,66,73,102,115,97,66,-,682,5.0,,,,
5,6,Nasopharynx,-,-,-,1,5,9,26,38,90,98,128,100,64,34,42,33,8,2,-,678,5.0,,,,
6,7,Non-melanoma skin,-,-,1,-,1,1,1,8,24,17,29,46,43,48,51,61,32,48,1,412,3.0,,,,
7,8,Non-Hodgkin lymphoma,1,2,3,7,3,6,8,11,20,20,32,50,32,31,64,53,33,25,-,401,2.9,,,,
8,9,Oesophagus,-,-,-,-,-,-,-,1,1,15,25,46,51,51,65,48,26,16,-,345,2.5,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,4,4,12,14,36,45,44,36,44,35,27,23,9,-,333,2.4,,,,
10,11,Kidney and other urinary organs except bladder,1,-,-,1,-,-,3,3,14,31,41,42,34,36,36,44,19,9,-,314,2.3,,,,
11,12,Pancreas,-,-,-,-,1,-,-,1,4,12,21,33,31,41,46,42,35,18,-,285,2.1,,,,
12,13,Bladder,-,-,-,-,-,-,-,3,1,9,19,21,16,24,33,65,50,34,-,275,2.0,,,,
13,14,Leukaemia,16,3,4,8,3,7,2,9,16,20,25,29,20,15,25,18,20,17,-,257,1.9,,,,
14,15,Larynx,-,-,-,-,-,-,-,-,2,9,19,23,19,25,29,29,18,15,-,188,1.4,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,3,7,10,17,24,26,36,18,20,-,162,1.2,,,,
16,17,Thyroid gland,-,-,1,3,2,4,9,13,16,18,17,17,12,8,16,6,4,2,-,148,1.1,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,1,1,6,11,14,11,16,24,27,15,8,-,134,1.0,,,,
18,19,Bone and soft tissue,-,2,4,5,1,7,8,9,7,11,11,11,8,6,7,9,8,5,-,119,0.9,,,,
19,20,Brain and other central nervous system,5,4,4,13,1,5,1,2,6,12,13,11,6,5,11,6,4,3,-,112,0.8,,,,
20,21,Testis,5,-,-,3,5,16,11,11,4,8,-,2,-,-,-,-,-,1,-,66,0.5,,,,
21,22,Hodgkin lymphoma,-,-,-,1,3,3,6,3,2,4,2,8,3,2,1,5,2,1,-,46,0.3,,,,
22,23,Penis / other male genital,-,-,-,-,-,1,-,-,-,3,1,3,7,6,9,4,6,2,-,42,0.3,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,1,-,-,2,2,5,6,7,1,6,3,5,2,-,40,0.3,,,,
24,25,Thymus / other thoracic organs,-,-,-,1,1,2,2,4,4,3,3,4,4,2,1,4,1,-,-,36,0.3,,,,
25,26,Small intestine,-,-,-,-,-,2,-,1,-,2,3,4,7,3,1,6,2,2,-,33,0.2,,,,
26,27,Melanoma of skin,-,-,-,-,-,-,-,-,2,1,2,6,1,5,3,3,3,1,-,27,0.2,,,,
27,28,Mesothelioma,-,-,-,-,-,-,-,-,1,-,1,1,2,4,4,6,4,-,-,23,0.2,,,,
28,29,Breast,-,-,-,-,-,-,-,-,-,1,2,1,3,2,2,2,2,2,-,17,0.1,,,,
29,30,Other endocrine glands,2,-,2,-,-,-,1,1,3,-,1,1,1,-,2,-,1,-,-,15,0.1,,,,
30,31,Eye,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,5,0.0,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,-,-,1,1,2,5,10,16,25,33,30,64,68,58,50,-,363,2.7,,,,
33,-,All sites,34,11,19,45,31,79,118,218,362,683,"1,120","1,418","1,436","1,587","2,077","2,100","1,417",925,1,"13,681",100.0,,,,
0,,Lung,-,-,-,-,0.5,0.9,3.1,8.8,9.9,27.9,55.1,121.1,176.3,300.1,402.4,553.2,697.4,659.1,,,,1,5.5,86.7,47.1
1,,Colorectum,-,-,-,-,0.9,2.6,7.1,10.4,16.4,37.0,64.5,93.3,146.2,259.5,328.7,395.6,530.1,531.3,,,,2,4.8,73.2,41.0
2,,Liver,0.8,-,-,0.5,0.5,0.4,3.6,12.9,17.5,32.0,65.8,84.0,116.7,135.2,141.4,148.2,157.9,147.7,,,,3,3.1,42.2,25.4
3,,Prostate,-,-,-,-,-,-,-,-,0.4,2.8,10.7,34.2,92.6,192.7,317.4,343.4,347.7,272.7,,,,4,3.3,45.2,24.5
4,,Nasopharynx,-,-,-,0.5,2.3,3.9,11.6,15.8,34.3,31.0,42.8,42.2,37.7,28.7,36.4,34.4,15.0,5.7,,,,5,1.4,20.6,13.5
5,,Stomach,-,-,-,0.5,0.5,0.4,1.3,3.3,2.3,5.4,18.0,30.4,38.9,61.7,88.5,120.0,182.3,187.5,,,,6,1.3,20.8,11.2
6,,Non-Hodgkin lymphoma,0.8,1.5,1.6,3.2,1.4,2.6,3.6,4.6,7.6,6.3,10.7,21.1,18.9,26.2,55.5,55.3,62.0,71.0,,,,7,0.8,12.2,7.6
7,,Non-melanoma skin,-,-,0.5,-,0.5,0.4,0.4,3.3,9.1,5.4,9.7,19.4,25.4,40.6,44.2,63.7,60.2,136.4,,,,8,0.8,12.5,7.2
8,,Leukaemia,13.6,2.2,2.1,3.6,1.4,3.0,0.9,3.8,6.1,6.3,8.4,12.2,11.8,12.7,21.7,18.8,37.6,48.3,,,,9,0.5,7.8,6.5
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1.7,1.8,5.0,5.3,11.4,15.0,18.6,21.2,37.2,30.4,28.2,43.2,25.6,,,,10,0.7,10.1,6.2
10,,Oesophagus,-,-,-,-,-,-,-,0.4,0.4,4.7,8.4,19.4,30.1,43.1,56.4,50.1,48.9,45.5,,,,11,0.8,10.5,6.1
11,,Kidney and other urinary organs except bladder,0.8,-,-,0.5,-,-,1.3,1.3,5.3,9.8,13.7,17.7,20.0,30.4,31.2,45.9,35.7,25.6,,,,12,0.7,9.6,5.7
12,,Pancreas,-,-,-,-,0.5,-,-,0.4,1.5,3.8,7.0,13.9,18.3,34.7,39.9,43.8,65.8,51.1,,,,13,0.6,8.7,4.9
13,,Bladder,-,-,-,-,-,-,-,1.3,0.4,2.8,6.3,8.9,9.4,20.3,28.6,67.8,94.0,96.6,,,,14,0.4,8.4,4.1
14,,Larynx,-,-,-,-,-,-,-,-,0.8,2.8,6.3,9.7,11.2,21.1,25.2,30.3,33.8,42.6,,,,15,0.4,5.7,3.2
15,,Brain and other central nervous system,4.2,2.9,2.1,5.9,0.5,2.2,0.4,0.8,2.3,3.8,4.3,4.6,3.5,4.2,9.5,6.3,7.5,8.5,,,,16,0.3,3.4,3.2
16,,Thyroid gland,-,-,0.5,1.4,0.9,1.7,4.0,5.4,6.1,5.7,5.7,7.2,7.1,6.8,13.9,6.3,7.5,5.7,,,,17,0.3,4.5,3.1
17,,Bone and soft tissue,-,1.5,2.1,2.3,0.5,3.0,3.6,3.8,2.7,3.5,3.7,4.6,4.7,5.1,6.1,9.4,15.0,14.2,,,,18,0.2,3.6,2.7
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.4,0.9,2.3,4.2,10.0,20.3,22.5,37.6,33.8,56.8,,,,19,0.3,4.9,2.7
19,,Testis,4.2,-,-,1.4,2.3,6.9,4.9,4.6,1.5,2.5,-,0.8,-,-,-,-,-,2.8,,,,20,0.1,2.0,2.2
20,,Multiple myeloma,-,-,-,-,-,-,-,0.4,0.4,1.9,3.7,5.9,6.5,13.5,20.8,28.2,28.2,22.7,,,,21,0.3,4.1,2.2
21,,Hodgkin lymphoma,-,-,-,0.5,1.4,1.3,2.7,1.3,0.8,1.3,0.7,3.4,1.8,1.7,0.9,5.2,3.8,2.8,,,,22,0.1,1.4,1.0
22,,Thymus / other thoracic organs,-,-,-,0.5,0.5,0.9,0.9,1.7,1.5,0.9,1.0,1.7,2.4,1.7,0.9,4.2,1.9,-,,,,23,0.1,1.1,0.8
23,,Penis / other male genital,-,-,-,-,-,0.4,-,-,-,0.9,0.3,1.3,4.1,5.1,7.8,4.2,11.3,5.7,,,,24,0.1,1.3,0.8
24,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,0.4,-,-,0.8,0.6,1.7,2.5,4.1,0.8,5.2,3.1,9.4,5.7,,,,25,0.1,1.2,0.7
25,,Small intestine,-,-,-,-,-,0.9,-,0.4,-,0.6,1.0,1.7,4.1,2.5,0.9,6.3,3.8,5.7,,,,26,0.1,1.0,0.6
26,,Other endocrine glands,1.7,-,1.0,-,-,-,0.4,0.4,1.1,-,0.3,0.4,0.6,-,1.7,-,1.9,-,,,,27,0.0,0.5,0.5
27,,Melanoma of skin,-,-,-,-,-,-,-,-,0.8,0.3,0.7,2.5,0.6,4.2,2.6,3.1,5.6,2.8,,,,28,0.1,0.8,0.5
28,,Mesothelioma,-,-,-,-,-,-,-,-,0.4,-,0.3,0.4,1.2,3.4,3.5,6.3,7.5,-,,,,29,0.0,0.7,0.4
29,,Eye,2.5,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,1.9,-,,,,30,0.0,0.2,0.3
30,,Breast,-,-,-,-,-,-,-,-,-,0.3,0.7,0.4,1.8,1.7,1.7,2.1,3.8,5.7,,,,31,0.0,0.5,0.3
31,,Kaposi sarcoma,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,,,,32,0.0,0.0,0.0
32,,Other and unspecified,-,-,-,-,-,0.4,0.4,0.8,1.9,3.2,5.3,10.6,19.5,25.4,55.5,71.0,109.0,142.0,,,,-,0.6,11.1,5.7
33,,All sites,28.9,8.1,9.9,20.3,14.2,34.3,52.4,90.8,137.8,216.2,374.2,598.6,846.7,"1,341.5","1,801.4","2,192.1","2,663.5","2,627.8",,,,-,27.9,416.5,241.9
