,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Colorectum,-,-,-,-,3,5,16,30,58,93,189,354,465,529,388,426,348,265,"3,169",19.8,,,,
1,2,Lung,-,-,-,-,3,1,5,8,24,74,182,336,427,523,445,428,381,249,"3,086",19.2,,,,
2,3,Prostate,-,-,-,-,-,-,-,-,1,6,36,110,264,432,350,321,238,154,"1,912",11.9,,,,
3,4,Liver,1,-,-,-,1,4,5,22,32,48,127,227,277,221,148,125,84,69,"1,391",8.7,,,,
4,5,Stomach,1,-,-,-,-,1,3,5,7,15,37,84,97,114,91,124,92,79,750,4.7,,,,
5,6,Nasopharynx,-,-,1,1,3,7,29,33,54,80,92,103,82,49,27,19,10,9,599,3.7,,,,
6,7,Non-Hodgkin lymphoma,1,4,4,8,7,8,11,13,19,26,34,71,75,76,62,76,40,34,569,3.5,,,,
7,8,Non-melanoma skin,-,-,-,-,1,1,2,10,23,35,38,57,66,72,46,65,71,78,565,3.5,,,,
8,9,Kidney and other urinary organs except bladder,3,2,-,-,1,1,4,7,17,20,44,55,57,75,42,40,32,29,429,2.7,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,5,4,8,14,21,61,74,56,67,40,35,15,21,422,2.6,,,,
10,11,Pancreas,-,-,-,-,-,-,3,4,5,14,26,40,74,78,40,46,36,30,396,2.5,,,,
11,12,Oesophagus,-,-,-,-,-,1,-,-,3,11,22,47,72,77,45,31,39,16,364,2.3,,,,
12,13,Bladder,-,-,-,-,-,-,-,1,-,2,10,15,36,38,53,47,58,61,321,2.0,,,,
13,14,Leukaemia,8,8,8,4,7,5,6,8,13,14,18,34,30,35,34,28,23,23,306,1.9,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,2,-,1,1,2,9,22,27,34,30,34,32,39,233,1.5,,,,
15,16,Thyroid gland,-,-,-,-,9,3,6,21,21,18,34,24,10,27,11,9,2,2,197,1.2,,,,
16,17,Larynx,-,-,-,-,-,-,-,-,3,5,8,31,26,37,27,18,18,9,182,1.1,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,-,3,3,3,13,20,30,22,26,13,11,144,0.9,,,,
18,19,Bone and soft tissue,1,3,2,6,3,7,5,5,8,5,4,13,19,15,11,11,12,9,139,0.9,,,,
19,20,Brain and other central nervous system,8,8,3,1,4,6,6,4,6,10,11,14,14,13,8,11,6,3,136,0.8,,,,
20,21,Testis,2,-,-,1,13,15,14,12,5,-,3,3,2,-,1,-,-,-,71,0.4,,,,
21,22,Small intestine,-,-,-,-,-,-,1,1,1,4,3,14,4,11,9,8,5,7,68,0.4,,,,
22,23,Penis / other male genital,-,-,-,-,-,-,-,1,-,2,3,6,4,11,4,4,5,10,50,0.3,,,,
23,24,Hodgkin lymphoma,-,-,1,3,2,2,6,7,-,1,7,1,2,4,3,1,5,2,47,0.3,,,,
24,25,Melanoma of skin,-,-,-,-,-,-,-,1,3,6,1,2,4,8,4,5,3,9,46,0.3,,,,
