,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,1,2,21,80,187,396,627,608,772,701,534,442,200,195,190,"4,956",28.4,,,,
1,2,Colorectum,-,-,1,-,5,6,9,27,52,97,144,203,260,310,259,214,255,340,"2,182",12.5,,,,
2,3,Lung,-,-,-,-,1,4,5,21,48,94,126,231,321,314,265,210,219,311,"2,170",12.4,,,,
3,4,Corpus uteri,-,-,-,-,2,3,20,34,72,140,204,258,176,127,88,26,19,17,"1,186",6.8,,,,
4,5,Thyroid gland,-,-,5,4,12,28,53,57,87,113,96,105,68,60,37,23,15,12,775,4.4,,,,
5,6,Ovary and peritoneum,-,1,2,5,1,13,9,27,46,73,106,87,76,48,37,18,14,22,585,3.3,,,,
6,7,Cervix,-,-,-,-,3,7,23,43,68,56,64,65,51,54,29,27,26,40,556,3.2,,,,
7,8,Non-Hodgkin lymphoma,-,-,1,5,1,5,7,15,12,23,53,52,66,56,54,43,38,55,486,2.8,,,,
8,9,Stomach,-,-,-,-,1,2,4,9,17,14,42,66,55,58,53,48,43,70,482,2.8,,,,
9,10,Non-melanoma skin,-,-,-,-,1,1,6,8,10,27,25,33,42,54,58,38,57,121,481,2.8,,,,
10,11,Liver,2,-,-,-,-,-,4,1,5,14,17,33,45,70,65,49,79,90,474,2.7,,,,
11,12,Pancreas,-,-,-,-,-,3,2,3,6,16,35,40,48,59,75,44,48,76,455,2.6,,,,
12,13,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,2,1,7,9,15,21,19,27,46,36,32,22,22,37,296,1.7,,,,
13,14,Kidney and other urinary organs except bladder,-,-,-,1,-,4,1,4,6,9,20,34,36,55,40,29,25,29,293,1.7,,,,
14,15,Leukaemia,8,6,8,1,3,8,5,8,7,14,28,28,31,26,22,29,20,18,270,1.5,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,2,6,6,12,20,36,32,34,25,39,212,1.2,,,,
16,17,Nasopharynx,-,-,-,-,2,1,10,19,18,27,31,27,28,16,14,4,4,4,205,1.2,,,,
17,18,Myeloproliferative disorders (MPD) and myelodysplastic syndromes (MDS),-,-,-,1,1,-,3,3,5,9,13,18,24,28,24,17,23,8,177,1.0,,,,
