,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,4,9,31,73,122,169,218,346,471,435,318,190,-,"2,388",33.2,,,,
1,2,Liver,-,-,-,2,-,3,5,16,42,86,126,112,104,159,161,132,79,49,-,"1,076",15.0,,,,
2,3,Colorectum,-,-,-,-,1,2,6,11,19,33,33,62,80,103,146,140,112,104,1,853,11.9,,,,
3,4,Stomach,-,-,-,-,-,1,-,4,9,19,15,35,35,35,79,69,51,40,-,392,5.5,,,,
4,5,Nasopharynx,-,-,-,-,1,-,5,11,21,43,44,43,29,32,26,18,7,4,-,284,4.0,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,1,4,7,18,22,39,44,45,32,27,16,-,255,3.6,,,,
6,7,Prostate,-,-,-,-,-,-,-,-,-,-,6,4,12,30,37,56,46,50,-,241,3.4,,,,
7,8,Pancreas,-,-,-,-,-,-,-,-,5,15,12,18,25,28,28,31,24,14,-,200,2.8,,,,
8,9,Non-Hodgkin lymphoma,-,1,-,2,2,1,2,6,2,10,9,15,13,17,28,31,16,14,-,169,2.4,,,,
9,10,Leukaemia,1,2,1,4,3,4,3,7,9,13,6,12,8,14,13,21,14,12,-,147,2.0,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1,-,1,2,12,13,12,16,16,16,20,11,16,-,136,1.9,,,,
11,12,Bladder,-,-,-,-,-,-,-,-,-,1,3,6,7,14,22,23,22,29,-,127,1.8,,,,
12,13,Kidney and other urinary organs except bladder,-,1,-,-,-,-,1,2,2,4,3,13,13,10,20,21,9,5,-,104,1.4,,,,
13,14,Larynx,-,-,-,-,-,-,-,-,1,1,4,6,4,8,18,14,9,11,-,76,1.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,2,-,8,3,10,10,14,9,10,-,66,0.9,,,,
