,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,-,2,11,18,36,138,187,274,287,355,448,415,319,"2,491",31.4,,,,
1,2,Liver,1,-,1,1,1,6,9,4,18,35,74,166,162,131,135,142,134,103,"1,123",14.2,,,,
2,3,Colorectum,-,-,-,-,-,5,3,7,9,27,54,85,115,98,139,185,180,180,"1,087",13.7,,,,
3,4,Stomach,-,-,-,-,-,-,2,3,3,11,22,29,36,42,49,59,55,69,380,4.8,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,1,-,2,7,15,27,48,68,92,112,372,4.7,,,,
5,6,Pancreas,-,-,-,-,-,-,-,-,4,16,22,31,38,45,41,49,33,31,310,3.9,,,,
6,7,Oesophagus,-,-,-,-,-,1,-,1,3,6,16,37,45,28,37,25,28,35,262,3.3,,,,
7,8,Nasopharynx,-,-,-,-,2,1,3,6,21,22,30,34,39,25,15,20,11,10,239,3.0,,,,
8,9,Non-Hodgkin lymphoma,1,-,-,-,1,-,1,4,3,6,16,19,23,23,32,28,23,24,204,2.6,,,,
9,10,Leukaemia,-,-,-,4,1,3,5,3,3,4,10,18,19,19,17,19,32,22,179,2.3,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1,2,-,5,8,13,15,21,13,14,9,20,16,137,1.7,,,,
11,12,Bladder,-,-,-,-,-,-,-,-,-,-,-,2,10,9,12,19,25,41,118,1.5,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,2,1,2,9,12,13,10,13,14,11,19,107,1.3,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,-,-,5,10,8,7,4,14,11,10,70,0.9,,,,
14,15,Brain and other central nervous system,1,2,1,-,-,3,1,2,2,8,10,7,14,5,4,4,2,-,66,0.8,,,,
15,16,Multiple myeloma,-,-,-,-,-,-,-,-,-,3,2,6,7,5,5,16,11,9,64,0.8,,,,
16,17,Larynx,-,-,-,-,-,-,-,-,-,1,1,5,9,11,7,9,10,10,63,0.8,,,,
17,17,Bone and soft tissue,-,-,-,3,3,1,-,1,-,2,3,4,6,6,6,12,8,8,63,0.8,,,,
18,19,Thymus / other thoracic organs,-,-,-,-,1,-,-,-,1,3,4,3,2,3,2,1,3,1,24,0.3,,,,
19,20,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,1,1,3,5,2,7,3,23,0.3,,,,
20,21,Small intestine,-,-,-,-,-,-,-,-,1,-,-,1,2,1,2,4,3,7,21,0.3,,,,
21,22,Melanoma of skin,-,-,-,-,-,-,-,1,2,2,-,2,-,3,3,4,-,2,19,0.2,,,,
22,23,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,1,-,-,-,1,3,4,1,1,2,1,1,2,17,0.2,,,,
23,24,Thyroid gland,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,2,1,4,11,0.1,,,,
24,25,Other endocrine glands,1,2,-,-,1,-,-,-,1,1,-,-,1,2,1,-,-,-,10,0.1,,,,
25,26,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,2,2,9,0.1,,,,
26,27,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,4,0.1,,,,
27,27,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,4,0.1,,,,
28,29,Penis / other male genital,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,3,0.0,,,,
