,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,7,5,22,35,80,123,137,104,112,188,237,277,"1,329",23.8,,,,
1,2,Colorectum,-,-,-,-,-,-,2,2,11,31,49,69,66,78,51,120,161,255,895,16.0,,,,
2,3,Breast,-,-,-,-,1,1,8,11,20,58,88,88,86,52,30,56,37,68,604,10.8,,,,
3,4,Liver,-,-,-,-,-,1,1,2,7,9,11,29,22,53,37,78,85,101,436,7.8,,,,
4,5,Stomach,-,-,-,-,-,1,1,5,3,8,14,14,29,17,20,29,38,84,263,4.7,,,,
5,6,Pancreas,-,-,-,-,-,-,-,2,-,5,9,24,26,30,23,37,45,47,248,4.4,,,,
6,7,Ovary and peritoneum,-,-,-,-,1,-,1,1,9,26,14,35,26,13,14,10,10,19,179,3.2,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,-,1,1,3,1,5,4,7,10,6,12,19,22,23,34,148,2.7,,,,
8,9,Cervix,-,-,-,-,-,1,3,1,5,12,17,19,14,8,8,7,21,15,131,2.3,,,,
9,10,Leukaemia,1,2,2,1,1,-,1,5,5,7,9,11,12,9,10,15,11,23,125,2.2,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1,5,3,6,7,7,15,24,28,96,1.7,,,,
11,12,Corpus uteri,-,-,-,-,-,-,-,3,5,3,14,17,9,6,8,7,8,5,85,1.5,,,,
12,13,Oesophagus,-,-,-,-,-,1,1,-,-,1,-,2,8,5,6,10,15,24,73,1.3,,,,
13,13,Kidney and other urinary organs except bladder,-,-,1,-,-,-,1,-,-,1,3,7,8,10,8,5,9,20,73,1.3,,,,
14,15,Nasopharynx,-,-,-,-,-,-,1,2,3,5,9,12,8,9,5,3,5,9,71,1.3,,,,
15,16,Bladder,-,-,-,-,-,-,-,-,-,-,1,2,2,3,2,10,17,27,64,1.1,,,,
16,17,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,1,1,-,-,10,4,7,7,5,9,11,8,63,1.1,,,,
17,18,Bone and soft tissue,1,3,-,3,1,1,2,-,5,3,7,3,6,5,4,2,3,4,53,0.9,,,,
18,18,Brain and other central nervous system,1,-,1,-,-,1,1,2,3,3,5,7,7,9,6,3,3,1,53,0.9,,,,
19,18,Multiple myeloma,-,-,-,-,-,-,-,-,-,2,3,1,9,4,4,7,12,11,53,0.9,,,,
20,21,"Uterus, unspecified",-,-,-,-,-,-,1,2,1,7,8,7,7,2,5,2,2,4,48,0.9,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,1,1,2,4,1,1,3,3,8,5,29,0.5,,,,
22,23,Thyroid gland,-,-,-,-,-,-,-,-,-,1,-,2,2,1,2,10,2,3,23,0.4,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,1,-,2,1,1,3,4,1,2,2,-,5,22,0.4,,,,
24,25,Thymus / other thoracic organs,-,-,-,-,-,1,-,-,-,-,2,-,-,1,1,1,1,3,10,0.2,,,,
25,26,Small intestine,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,2,6,0.1,,,,
26,27,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,5,0.1,,,,
27,27,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,5,0.1,,,,
28,27,Other endocrine glands,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,5,0.1,,,,
29,30,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,3,0.1,,,,
30,30,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,3,0.1,,,,
31,32,Mesothelioma,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,2,0.0,,,,
32,-,Other and unspecified,2,1,-,-,-,1,2,2,2,12,16,23,28,29,28,46,72,113,377,6.8,,,,
33,-,All sites,8,6,4,4,5,12,39,47,110,236,385,521,540,477,423,699,865,"1,199","5,580",100.0,,,,
0,,Lung,-,-,-,-,-,0.7,2.0,1.5,6.5,10.6,23.0,41.1,58.9,63.7,109.9,171.8,259.3,271.8,,,1,1.6,34.2,14.9
1,,Colorectum,-,-,-,-,-,-,0.6,0.6,3.3,9.4,14.1,23.1,28.4,47.8,50.0,109.7,176.1,250.2,,,2,0.9,23.0,9.3
2,,Breast,-,-,-,-,0.4,0.3,2.3,3.3,5.9,17.6,25.3,29.4,37.0,31.8,29.4,51.2,40.5,66.7,,,3,0.9,15.5,8.3
3,,Liver,-,-,-,-,-,0.3,0.3,0.6,2.1,2.7,3.2,9.7,9.5,32.5,36.3,71.3,93.0,99.1,,,4,0.5,11.2,4.7
4,,Pancreas,-,-,-,-,-,-,-,0.6,-,1.5,2.6,8.0,11.2,18.4,22.6,33.8,49.2,46.1,,,5,0.3,6.4,2.8
5,,Stomach,-,-,-,-,-,0.3,0.3,1.5,0.9,2.4,4.0,4.7,12.5,10.4,19.6,26.5,41.6,82.4,,,6,0.3,6.8,2.8
6,,Ovary and peritoneum,-,-,-,-,0.4,-,0.3,0.3,2.7,7.9,4.0,11.7,11.2,8.0,13.7,9.1,10.9,18.6,,,7,0.3,4.6,2.6
7,,Leukaemia,0.8,1.6,1.5,0.5,0.4,-,0.3,1.5,1.5,2.1,2.6,3.7,5.2,5.5,9.8,13.7,12.0,22.6,,,8,0.2,3.2,1.9
8,,Non-Hodgkin lymphoma,-,-,-,-,0.4,0.3,0.9,0.3,1.5,1.2,2.0,3.3,2.6,7.3,18.6,20.1,25.2,33.4,,,9,0.2,3.8,1.7
9,,Cervix,-,-,-,-,-,0.3,0.9,0.3,1.5,3.6,4.9,6.4,6.0,4.9,7.9,6.4,23.0,14.7,,,10,0.2,3.4,1.7
10,,Bone and soft tissue,0.8,2.4,-,1.6,0.4,0.3,0.6,-,1.5,0.9,2.0,1.0,2.6,3.1,3.9,1.8,3.3,3.9,,,11,0.1,1.4,1.2
11,,Corpus uteri,-,-,-,-,-,-,-,0.9,1.5,0.9,4.0,5.7,3.9,3.7,7.9,6.4,8.8,4.9,,,12,0.1,2.2,1.2
12,,Nasopharynx,-,-,-,-,-,-,0.3,0.6,0.9,1.5,2.6,4.0,3.4,5.5,4.9,2.7,5.5,8.8,,,13,0.1,1.8,1.0
13,,Brain and other central nervous system,0.8,-,0.7,-,-,0.3,0.3,0.6,0.9,0.9,1.4,2.3,3.0,5.5,5.9,2.7,3.3,1.0,,,14,0.1,1.4,1.0
14,,Kidney and other urinary organs except bladder,-,-,0.7,-,-,-,0.3,-,-,0.3,0.9,2.3,3.4,6.1,7.9,4.6,9.8,19.6,,,15,0.1,1.9,0.9
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,0.3,1.4,1.0,2.6,4.3,6.9,13.7,26.3,27.5,,,16,0.1,2.5,0.9
16,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,0.3,0.3,-,-,2.9,1.3,3.0,4.3,4.9,8.2,12.0,7.9,,,17,0.1,1.6,0.8
17,,Oesophagus,-,-,-,-,-,0.3,0.3,-,-,0.3,-,0.7,3.4,3.1,5.9,9.1,16.4,23.6,,,18,0.1,1.9,0.7
