,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,2,6,14,37,76,105,127,158,109,137,213,308,-,"1,294",22.1,,,,
1,2,Colorectum,-,-,-,-,1,-,3,8,4,15,38,60,78,94,75,84,130,274,-,864,14.7,,,,
2,3,Breast,-,-,-,-,-,1,6,16,28,74,119,109,100,70,38,45,43,71,1,721,12.3,,,,
3,4,Liver,-,-,-,-,-,-,1,1,6,7,15,19,29,43,44,53,83,125,-,426,7.3,,,,
4,5,Pancreas,-,-,-,-,-,-,1,1,2,7,13,18,32,44,33,42,49,61,-,303,5.2,,,,
5,6,Stomach,-,-,-,-,-,1,5,2,6,13,14,19,23,24,19,22,40,74,-,262,4.5,,,,
6,7,Ovary and peritoneum,-,-,-,-,2,1,2,2,7,18,30,33,29,26,18,12,20,19,-,219,3.7,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,1,1,1,1,3,2,3,4,9,15,14,20,17,27,46,-,164,2.8,,,,
8,9,Cervix,-,-,-,-,1,1,2,6,7,14,15,19,9,12,16,19,14,15,-,150,2.6,,,,
9,10,Leukaemia,-,2,1,1,2,-,3,4,4,3,3,8,6,10,12,11,22,37,-,129,2.2,,,,
10,11,Corpus uteri,-,-,-,-,-,-,-,1,1,6,15,17,17,18,13,8,10,8,-,114,1.9,,,,
11,12,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,2,1,2,7,5,7,10,13,26,30,-,104,1.8,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,1,1,3,5,11,15,14,13,13,19,-,95,1.6,,,,
13,14,Nasopharynx,-,-,-,1,-,1,-,1,3,2,9,16,12,9,3,6,3,6,-,72,1.2,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1,-,-,1,2,8,1,3,4,6,8,11,25,-,70,1.2,,,,
15,16,Bladder,-,-,-,-,-,-,-,-,-,1,-,1,1,4,4,7,11,37,-,66,1.1,,,,
16,17,Bone and soft tissue,-,-,1,1,1,-,-,1,3,4,6,10,8,9,5,4,7,2,-,62,1.1,,,,
17,18,"Uterus, unspecified",-,-,-,-,-,-,-,-,2,5,9,12,6,9,4,4,2,5,-,58,1.0,,,,
18,19,Oesophagus,-,-,-,-,-,-,-,-,-,1,1,4,5,7,6,7,11,14,-,56,1.0,,,,
19,20,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,1,3,4,7,7,7,5,18,1,53,0.9,,,,
